Time,Clean,LessNoisy,Noisy,LMSCleanLess,LMSCleanHeavy
0.658000,-1.457939,-1.683315,-1.572306,-1.690800,-2.878917
0.660000,-1.175567,-0.865722,-2.134847,-1.200867,-2.628741
0.662000,-0.851561,-1.064780,-0.327297,-1.150148,-1.967044
0.664000,-0.497382,-0.760445,0.651458,-0.882808,-1.598773
0.666000,-0.125576,0.321877,0.243126,-0.128364,-1.099055
0.668000,0.250664,0.582954,-1.256058,0.346038,-0.583486
0.670000,0.618039,0.365992,1.366178,0.454899,-0.237854
0.672000,0.963506,0.926476,2.491733,1.062209,0.190149
0.674000,1.274853,1.360934,1.928640,1.343571,0.630516
0.676000,1.541026,1.562421,1.459465,1.576887,1.217772
0.678000,1.752613,1.450954,1.685369,1.660603,1.627307
0.680000,1.902115,2.026722,0.149283,2.036610,2.112781
0.682000,1.984229,2.065119,1.436509,2.202549,2.268228
0.684000,1.996053,2.036799,2.262878,2.126029,2.326952
0.686000,1.937166,1.611424,-0.416944,1.749668,2.219708
0.688000,1.809651,2.297691,3.453662,2.117910,2.392514
0.690000,1.618034,1.136759,1.662847,1.356827,2.248396
0.692000,1.369100,0.978257,0.878840,1.103718,2.021040
0.694000,1.071654,1.166351,1.866561,1.024712,1.505301
0.696000,0.736256,0.681357,-0.286448,0.568799,0.958381
0.698000,0.374762,0.234378,-0.403158,0.162983,0.352170
0.700000,0.000007,0.286488,0.919019,0.081422,0.067603
0.702000,-0.374763,-0.275854,0.236400,-0.362320,-0.398593
0.704000,-0.736243,-1.142934,-0.924063,-1.017934,-1.058796
0.706000,-1.071654,-1.312628,-1.355794,-1.320724,-1.710590
0.708000,-1.369100,-1.092237,-2.690844,-1.317350,-2.034124
0.710000,-1.618035,-1.887244,-2.816083,-1.881221,-2.476511
0.712000,-1.809658,-1.427459,-2.152416,-1.693713,-2.415685
0.714000,-1.937167,-2.369538,-1.439328,-2.230744,-2.522863
0.716000,-1.996054,-2.067789,-3.578411,-2.072268,-2.541644
0.718000,-1.984229,-2.506061,-2.225658,-2.393584,-2.406443
0.720000,-1.902110,-2.507636,0.671790,-2.357110,-2.637431
0.722000,-1.752612,-1.754709,-2.012689,-1.957979,-2.362961
0.724000,-1.541030,-1.945300,-0.727103,-1.996291,-2.115100
0.726000,-1.274846,-0.842223,-0.110571,-1.300396,-1.698811
0.728000,-0.963512,-0.778238,-0.089396,-1.049636,-1.163653
0.730000,-0.618032,-0.443456,0.305378,-0.675653,-0.743088
0.732000,-0.250671,-0.665981,-0.258833,-0.535901,-0.396028
0.734000,0.125584,0.686249,0.488585,0.383302,0.082256
0.736000,0.497375,0.272807,1.050978,0.381684,0.495590
0.738000,0.851562,0.237841,0.490391,0.494973,0.763726
0.740000,1.175567,1.484111,1.522493,1.351721,1.138949
0.742000,1.457940,1.348858,2.941362,1.462319,1.494294
0.744000,1.688654,1.654205,1.623947,1.790043,1.785396
0.746000,1.859554,1.938387,1.620214,1.980393,1.829776
0.748000,1.964577,1.991565,1.137864,2.089440,1.845942
0.750000,2.000000,2.079099,3.415484,2.130594,2.058037
0.752000,1.964575,1.973420,2.094531,1.973368,1.657244
0.754000,1.859551,1.948561,-0.188628,1.914181,1.480871
0.756000,1.688657,1.875746,2.854082,1.793222,1.372782
0.758000,1.457934,1.445109,-0.919067,1.494699,1.051382
0.760000,1.175573,0.890788,1.455108,1.077991,0.848776
0.762000,0.851554,1.060363,2.499106,1.009323,0.843321
0.764000,0.497382,0.337105,-0.877395,0.450677,0.500775
0.766000,0.125591,-0.138819,0.410689,0.037598,0.211701
0.768000,-0.250664,-0.519259,0.418004,-0.383583,-0.068698
0.770000,-0.618025,-0.442067,1.283484,-0.593215,-0.252497
0.772000,-0.963506,-1.108498,0.280569,-1.078380,-0.510098
0.774000,-1.274841,-1.368236,0.166586,-1.401386,-0.740105
0.776000,-1.541026,-1.688578,-1.227891,-1.708010,-1.096716
0.778000,-1.752616,-1.841603,-3.346944,-1.882955,-1.835700
0.780000,-1.902113,-1.711322,-2.835129,-1.913779,-2.484941
0.782000,-1.984230,-2.182194,-2.105902,-2.172358,-2.673785
0.784000,-1.996053,-1.366493,-2.246113,-1.770128,-2.889957
0.786000,-1.937165,-1.835919,-3.702866,-1.883962,-2.969122
0.788000,-1.809654,-1.746818,-0.425255,-1.746727,-2.945691
0.790000,-1.618030,-1.782526,-1.767128,-1.649539,-2.886894
0.792000,-1.369094,-1.070685,-1.106665,-1.178033,-2.551547
0.794000,-1.071647,-0.985989,-1.808715,-0.934794,-2.006432
0.796000,-0.736249,-0.945436,-0.934398,-0.751657,-1.773653
0.798000,-0.374770,-0.291754,-1.143403,-0.270756,-1.182771
0.800000,0.000000,0.309722,0.240705,0.236133,-0.560467
0.802000,0.374756,0.462684,1.984371,0.514107,-0.004146
0.804000,0.736250,0.517922,1.561747,0.703504,0.610320
0.806000,1.071648,1.132243,2.890150,1.142811,1.056470
0.808000,1.369095,1.951797,2.092008,1.718940,1.397803
0.810000,1.618030,1.581827,1.894695,1.664528,1.393480
0.812000,1.809655,1.859285,1.431132,1.889934,1.551536
0.814000,1.937169,1.129729,2.876657,1.565171,1.605416
0.816000,1.996054,2.133761,3.462985,2.060012,1.471121
0.818000,1.984228,2.382921,0.768325,2.179021,1.605559
0.820000,1.902112,2.039604,2.121978,1.986336,1.547401
0.822000,1.752609,1.757742,2.115600,1.778983,1.411555
0.824000,1.541025,1.629771,1.791279,1.654701,1.302016
0.826000,1.274852,1.336362,1.374600,1.354990,0.918426
0.828000,0.963505,1.288822,1.454716,1.129922,0.530761
0.830000,0.618039,0.346765,1.218754,0.497186,0.101495
0.832000,0.250664,0.384970,1.555264,0.356829,-0.512185
0.834000,-0.125576,-0.341694,0.297259,-0.183534,-0.915657
0.836000,-0.497383,-0.800329,0.079340,-0.666841,-1.340052
0.838000,-0.851555,-0.893412,-0.380205,-0.935510,-1.683048
0.840000,-1.175561,-1.098362,0.314346,-1.152285,-2.093648
0.842000,-1.457934,-1.986023,-1.174795,-1.740636,-2.256598
0.844000,-1.688658,-1.063006,-2.312342,-1.460839,-2.212031
0.846000,-1.859552,-2.250215,-2.660133,-2.151338,-2.208746
0.848000,-1.964575,-2.167984,-3.750923,-2.192822,-1.981744
0.850000,-2.000000,-1.635591,-1.958233,-1.936607,-1.642144
