Time,Clean,LessNoisy,Noisy,FilteredLessNoisy,FilteredNoisy
0.438000,-0.851555,-0.648058,-0.054995,-0.654977,-0.645536
0.440000,-1.175573,-0.903112,-0.625930,-0.853390,-1.029291
0.442000,-1.457940,-1.482814,-1.428273,-1.155679,-1.339839
0.444000,-1.688658,-0.980076,-3.192117,-1.414073,-1.855237
0.446000,-1.859554,-1.764336,-1.332858,-1.709486,-2.009098
0.448000,-1.964575,-1.940025,-2.697008,-1.875488,-2.340003
0.450000,-2.000000,-2.380179,-1.395234,-2.038677,-2.249764
0.452000,-1.964575,-2.277377,-3.082800,-2.036737,-2.177750
0.454000,-1.859554,-1.831466,-2.740919,-1.976044,-1.864114
0.456000,-1.688658,-1.754637,-0.237842,-1.780858,-1.737976
0.458000,-1.457934,-1.636563,-1.599983,-1.491306,-1.210132
0.460000,-1.175567,-1.404248,-1.433051,-1.232402,-0.949330
0.462000,-0.851554,-0.829614,0.244656,-0.834358,-0.831931
0.464000,-0.497382,-0.531041,-1.720432,-0.504626,-0.422115
0.466000,-0.125583,0.207629,0.349154,-0.177743,-0.195132
0.468000,0.250664,0.116758,0.449096,0.184476,0.297095
0.470000,0.618032,0.147555,-0.298136,0.467813,0.500322
0.472000,0.963506,1.006359,2.210400,0.644185,0.703634
0.474000,1.274847,0.860764,-0.208903,0.962689,0.447596
0.476000,1.541030,1.089489,1.365713,1.336701,1.649943
0.478000,1.752613,2.026767,3.764046,1.553819,2.796028
0.480000,1.902113,1.700124,2.126763,1.697021,2.445463
0.482000,1.984229,2.012025,2.801180,1.834389,2.530429
0.484000,1.996054,1.656699,2.169612,1.763470,2.300950
0.486000,1.937167,1.776328,1.790546,1.785120,1.814952
0.488000,1.809654,1.672174,2.616650,1.645920,1.906434
0.490000,1.618034,1.808376,-0.272742,1.558917,1.180631
0.492000,1.369094,1.316025,2.601996,1.403888,1.618565
0.494000,1.071654,1.221684,0.899839,1.226482,0.903270
0.496000,0.736249,1.001184,0.954638,0.872225,0.846148
0.498000,0.374763,0.785143,0.332619,0.629986,0.469655
0.500000,-0.000000,-0.297533,-0.632298,-0.172039,0.149125
0.502000,-0.374756,-0.467506,0.793479,-0.433885,-0.115154
0.504000,-0.736250,-0.932539,-0.702815,-0.821216,-0.962994
0.506000,-1.071654,-1.094693,-2.748691,-1.111025,-2.026785
0.508000,-1.369095,-1.313809,-2.582784,-1.329820,-1.833368
0.510000,-1.618035,-1.746578,-1.970822,-1.467392,-2.019885
0.512000,-1.809655,-1.561479,-1.161725,-1.587030,-1.763010
0.514000,-1.937167,-1.620399,-1.635402,-1.692542,-1.671958
0.516000,-1.996053,-1.692883,-1.464316,-1.711392,-1.521140
0.518000,-1.984229,-1.841373,-2.127523,-1.759182,-1.493296
0.520000,-1.902115,-1.840826,-1.216736,-1.688256,-1.439692
0.522000,-1.752612,-1.800427,-1.022504,-1.557121,-1.362045
0.524000,-1.541030,-1.265771,-1.367383,-1.396591,-1.369272
0.526000,-1.274846,-1.037209,-1.076080,-1.048688,-1.210881
0.528000,-0.963505,-1.038720,-2.163655,-0.809884,-0.902528
0.530000,-0.618039,-0.120030,-0.424783,-0.452316,-0.440732
0.532000,-0.250664,-0.587692,0.519262,-0.332234,-0.070396
0.534000,0.125576,0.250485,0.920893,0.083540,0.524212
0.536000,0.497383,0.700766,0.211555,0.328676,1.030592
0.538000,0.851555,0.174173,1.394132,0.654359,1.124738
0.540000,1.175573,0.848876,2.107120,0.939964,1.349416
0.542000,1.457934,1.297493,0.989988,1.202713,1.617384
0.544000,1.688658,1.969808,2.044284,1.768928,1.881765
0.546000,1.859554,1.424923,1.551396,1.823344,2.219697
0.548000,1.964574,2.623440,2.716039,2.181641,2.464947
0.550000,2.000000,2.578294,3.796775,2.154751,2.352657
0.552000,1.964575,2.311738,2.216244,2.184862,2.135098
0.554000,1.859551,1.637658,1.482833,1.803623,1.750816
0.556000,1.688658,1.773181,0.294756,1.568916,1.215072
0.558000,1.457934,1.008367,1.446546,1.261205,1.048230
0.560000,1.175573,1.055909,0.634982,1.100167,1.045546
0.562000,0.851561,0.830910,1.382031,0.868197,1.180252
0.564000,0.497375,0.832467,1.469414,0.717856,0.953187
0.566000,0.125583,0.613332,0.968285,0.475380,0.822956
0.568000,-0.250672,0.256661,0.311221,0.144944,0.322933
0.570000,-0.618032,-1.107536,-0.016172,-0.677223,-0.321906
0.572000,-0.963512,-0.872375,-1.118084,-0.762602,-0.581671
0.574000,-1.274847,-0.320044,-2.251262,-1.064569,-0.797599
0.576000,-1.541026,-1.433517,0.165941,-1.325163,-0.928221
0.578000,-1.752613,-1.715526,-0.768420,-1.544256,-0.735837
0.580000,-1.902113,-1.964782,-0.669281,-1.759621,-0.843350
0.582000,-1.984230,-1.805003,-0.156163,-1.716801,-0.878388
0.584000,-1.996053,-1.879275,-3.079090,-1.804325,-1.673062
0.586000,-1.937165,-1.219418,-0.307856,-1.770020,-1.201726
0.588000,-1.809654,-2.153147,-2.020806,-1.593945,-1.937966
0.590000,-1.618039,-1.793258,-2.727804,-1.442647,-1.366472
0.592000,-1.369094,-0.924626,-1.554274,-1.123847,-1.417218
0.594000,-1.071654,-0.843545,-0.140547,-0.856288,-1.176887
0.596000,-0.736249,-0.565636,-0.642659,-0.529308,-0.741305
0.598000,-0.374763,-0.172835,-0.819152,-0.257486,-0.718689
0.600000,0.000008,-0.139900,-0.549894,-0.164924,-0.442013
0.602000,0.374763,0.434488,-1.441191,0.145031,-0.336428
0.604000,0.736243,-0.380739,1.242829,0.006184,0.662159
0.606000,1.071654,0.928163,-0.114731,0.883838,0.228735
