Time,Clean,LessNoisy,Noisy,MMSELessNoisy,MMSENoisy
0.318000,-1.984230,-2.248355,-2.120099,-2.482833,-1.735946
0.320000,-1.902114,-2.164594,-2.576989,-2.401120,-1.672620
0.322000,-1.752614,-1.103949,-0.928797,-2.115609,-1.486812
0.324000,-1.541025,-1.838392,-4.156891,-1.410016,-1.326701
0.326000,-1.274846,-1.627290,-1.158092,-1.571684,-1.657837
0.328000,-0.963505,-0.939859,-1.440603,-1.465374,-1.051448
0.330000,-0.618032,-1.019645,-0.382383,-0.832164,-0.761425
0.332000,-0.250668,0.427357,-0.110414,-0.647526,-0.301967
0.334000,0.125580,0.180391,-0.929246,0.410711,-0.151219
0.336000,0.497379,0.858991,-0.649320,0.472117,0.130795
0.338000,0.851558,0.743538,1.507410,1.042614,0.566906
0.340000,1.175573,1.515075,3.863324,0.974918,1.294815
0.342000,1.457940,1.490553,1.689522,1.681274,1.839504
0.344000,1.688658,2.085131,1.814049,1.683160,1.943890
0.346000,1.859552,2.594362,1.843299,2.015178,2.346896
0.348000,1.964574,1.931624,2.136501,2.390341,2.305684
0.350000,2.000000,1.641616,-0.335511,1.981005,2.586894
0.352000,1.964575,1.930828,1.966398,1.544784,2.099648
0.354000,1.859551,1.623855,3.984021,1.603082,1.766022
0.356000,1.688653,1.924075,0.915884,1.337459,2.068714
0.358000,1.457934,1.207159,0.664623,1.417229,1.582677
0.360000,1.175567,1.278878,1.388858,0.717008,1.078791
0.362000,0.851561,1.215727,1.020236,0.635397,0.777568
0.364000,0.497382,0.326930,-1.517207,0.536890,0.564802
0.366000,0.125583,0.360491,0.856870,-0.001276,-0.146233
0.368000,-0.250664,-0.764019,0.666357,-0.347083,-0.384631
0.370000,-0.618032,-0.422753,-0.011577,-0.978624,-0.542013
0.372000,-0.963506,-0.761523,-0.575658,-0.954955,-0.771358
0.374000,-1.274853,-0.710478,-0.137723,-1.273402,-1.208773
0.376000,-1.541025,-1.634233,-1.844968,-1.166282,-1.478564
0.378000,-1.752613,-1.636128,-1.978189,-1.915191,-1.527709
0.380000,-1.902113,-2.192168,-2.762938,-1.935902,-1.397678
0.382000,-1.984229,-0.982617,0.572231,-2.258693,-1.883923
0.384000,-1.996054,-1.155371,-1.232873,-1.412408,-1.946279
0.386000,-1.937167,-1.712255,-0.659557,-1.367758,-1.715955
0.388000,-1.809654,-1.774738,-1.452207,-1.642097,-1.119976
0.390000,-1.618034,-1.740927,1.099061,-1.801131,-1.361592
0.392000,-1.369094,-1.248125,-2.162489,-1.505368,-0.972079
0.394000,-1.071654,-0.879918,-1.422394,-1.117046,-0.689140
0.396000,-0.736249,-0.195062,-1.529866,-0.851254,-0.434862
0.398000,-0.374763,-0.518128,-0.395683,-0.415279,-0.500934
0.400000,0.000000,0.268736,-0.584999,-0.264361,-0.065934
0.402000,0.374763,0.518864,-0.220386,0.149467,0.328087
0.404000,0.736250,0.920246,0.507548,0.679988,0.149807
0.406000,1.071654,1.075850,1.568116,0.976228,0.024676
0.408000,1.369095,0.997183,1.665924,1.155584,0.558085
0.410000,1.618035,1.803486,1.033778,1.124369,0.903272
0.412000,1.809655,1.929871,3.651538,1.644885,0.990573
0.414000,1.937167,2.088136,4.652596,1.768440,1.347536
0.416000,1.996054,2.319297,1.515053,1.863577,1.590718
0.418000,1.984229,1.956655,2.972358,1.864887,1.353930
0.420000,1.902115,1.643843,2.182905,1.716915,1.456304
0.422000,1.752612,1.883781,0.623715,1.470436,1.421509
0.424000,1.541025,1.698919,1.946617,1.273573,1.330395
0.426000,1.274846,1.436080,2.334247,1.185378,1.408478
0.428000,0.963505,0.627162,0.066219,0.758751,0.959974
0.430000,0.618032,0.619376,1.950959,0.186540,0.550393
0.432000,0.250664,0.273517,2.771074,-0.060165,0.372315
0.434000,-0.125576,0.004781,-0.703090,-0.309540,0.069201
0.436000,-0.497375,-0.252891,-0.415391,-0.705845,-0.725368
0.438000,-0.851555,-0.648058,-0.054995,-0.985990,-0.700565
0.440000,-1.175573,-0.903112,-0.625930,-1.275491,-1.125967
0.442000,-1.457940,-1.482814,-1.428273,-1.387160,-1.175510
0.444000,-1.688658,-0.980076,-3.192117,-1.786840,-1.654719
0.446000,-1.859554,-1.764336,-1.332858,-1.657140,-2.119225
0.448000,-1.964575,-1.940025,-2.697008,-1.962799,-2.285238
0.450000,-2.000000,-2.380179,-1.395234,-2.113246,-2.510616
0.452000,-1.964575,-2.277377,-3.082800,-2.386798,-2.657705
0.454000,-1.859554,-1.831466,-2.740919,-2.223831,-2.149801
0.456000,-1.688658,-1.754637,-0.237842,-2.027046,-2.480012
0.458000,-1.457934,-1.636563,-1.599983,-1.914128,-2.112579
0.460000,-1.175567,-1.404248,-1.433051,-1.665769,-1.752776
0.462000,-0.851554,-0.829614,0.244656,-1.358674,-1.218834
0.464000,-0.497382,-0.531041,-1.720432,-0.720815,-0.881020
0.466000,-0.125583,0.207629,0.349154,-0.305188,-0.514817
0.468000,0.250664,0.116758,0.449096,0.246776,0.050766
0.470000,0.618032,0.147555,-0.298136,0.483357,0.616034
0.472000,0.963506,1.006359,2.210400,0.548468,1.128375
0.474000,1.274847,0.860764,-0.208903,1.181361,2.023233
0.476000,1.541030,1.089489,1.365713,1.188540,1.386954
