Time,Clean,LessNoisy,Noisy,KalmanLessNoisy,KalmanNoisy
0.368000,-0.250664,-0.764019,0.666357,0.469348,0.679134
0.370000,-0.618032,-0.422753,-0.011577,0.228341,0.613430
0.372000,-0.963506,-0.761523,-0.575658,-0.039077,0.500318
0.374000,-1.274853,-0.710478,-0.137723,-0.220460,0.439624
0.376000,-1.541025,-1.634233,-1.844968,-0.602399,0.222303
0.378000,-1.752613,-1.636128,-1.978189,-0.881668,0.012981
0.380000,-1.902113,-2.192168,-2.762938,-1.235707,-0.251078
0.382000,-1.984229,-0.982617,0.572231,-1.167333,-0.172761
0.384000,-1.996054,-1.155371,-1.232873,-1.164102,-0.273604
0.386000,-1.937167,-1.712255,-0.659557,-1.312189,-0.310318
0.388000,-1.809654,-1.774738,-1.452207,-1.437149,-0.418940
0.390000,-1.618034,-1.740927,1.099061,-1.519217,-0.274540
0.392000,-1.369094,-1.248125,-2.162489,-1.445980,-0.454131
0.394000,-1.071654,-0.879918,-1.422394,-1.293055,-0.546237
0.396000,-0.736249,-0.195062,-1.529866,-0.996425,-0.639805
0.398000,-0.374763,-0.518128,-0.395683,-0.867210,-0.616583
0.400000,0.000000,0.268736,-0.584999,-0.560327,-0.613578
0.402000,0.374763,0.518864,-0.220386,-0.268777,-0.576176
0.404000,0.736250,0.920246,0.507548,0.052445,-0.473087
0.406000,1.071654,1.075850,1.568116,0.328924,-0.278917
0.408000,1.369095,0.997183,1.665924,0.509458,-0.093915
0.410000,1.618035,1.803486,1.033778,0.859048,0.013357
0.412000,1.809655,1.929871,3.651538,1.148337,0.359439
0.414000,1.937167,2.088136,4.652596,1.402230,0.767825
0.416000,1.996054,2.319297,1.515053,1.649981,0.838905
0.418000,1.984229,1.956655,2.972358,1.732831,1.041850
0.420000,1.902115,1.643843,2.182905,1.708790,1.150392
0.422000,1.752612,1.883781,0.623715,1.756065,1.100292
0.424000,1.541025,1.698919,1.946617,1.740627,1.180799
0.426000,1.274846,1.436080,2.334247,1.658352,1.290520
0.428000,0.963505,0.627162,0.066219,1.379769,1.174059
0.430000,0.618032,0.619376,1.950959,1.174344,1.247961
0.432000,0.250664,0.273517,2.771074,0.930980,1.392847
0.434000,-0.125576,0.004781,-0.703090,0.680762,1.193472
0.436000,-0.497375,-0.252891,-0.415391,0.428530,1.040429
0.438000,-0.851555,-0.648058,-0.054995,0.137683,0.936227
0.440000,-1.175573,-0.903112,-0.625930,-0.143494,0.787627
0.442000,-1.457940,-1.482814,-1.428273,-0.505320,0.576839
0.444000,-1.688658,-0.980076,-3.192117,-0.633578,0.218318
0.446000,-1.859554,-1.764336,-1.332858,-0.939059,0.070762
0.448000,-1.964575,-1.940025,-2.697008,-1.209476,-0.192522
0.450000,-2.000000,-2.380179,-1.395234,-1.525749,-0.306930
0.452000,-1.964575,-2.277377,-3.082800,-1.728806,-0.570984
0.454000,-1.859554,-1.831466,-2.740919,-1.756540,-0.777399
0.456000,-1.688658,-1.754637,-0.237842,-1.756026,-0.726074
0.458000,-1.457934,-1.636563,-1.599983,-1.723752,-0.809204
0.460000,-1.175567,-1.404248,-1.433051,-1.637436,-0.868548
0.462000,-0.851554,-0.829614,0.244656,-1.419198,-0.762654
0.464000,-0.497382,-0.531041,-1.720432,-1.179257,-0.853763
0.466000,-0.125583,0.207629,0.349154,-0.804581,-0.739335
0.468000,0.250664,0.116758,0.449096,-0.555676,-0.626286
0.470000,0.618032,0.147555,-0.298136,-0.365694,-0.595071
0.472000,0.963506,1.006359,2.210400,0.004975,-0.328200
0.474000,1.274847,0.860764,-0.208903,0.236172,-0.316852
0.476000,1.541030,1.089489,1.365713,0.466701,-0.156798
0.478000,1.752613,2.026767,3.764046,0.888162,0.216172
0.480000,1.902113,1.700124,2.126763,1.107519,0.397916
0.482000,1.984229,2.012025,2.801180,1.351877,0.626527
0.484000,1.996054,1.656699,2.169612,1.434226,0.773313
0.486000,1.937167,1.776328,1.790546,1.526647,0.870077
0.488000,1.809654,1.672174,2.616650,1.565962,1.036219
0.490000,1.618034,1.808376,-0.272742,1.631452,0.911705
0.492000,1.369094,1.316025,2.601996,1.546237,1.072493
0.494000,1.071654,1.221684,0.899839,1.458557,1.056070
0.496000,0.736249,1.001184,0.954638,1.334995,1.046421
0.498000,0.374763,0.785143,0.332619,1.186449,0.978521
0.500000,-0.000000,-0.297533,-0.632298,0.785542,0.825292
0.502000,-0.374756,-0.467506,0.793479,0.447023,0.822266
0.504000,-0.736250,-0.932539,-0.702815,0.074326,0.677192
0.506000,-1.071654,-1.094693,-2.748691,-0.241492,0.351305
0.508000,-1.369095,-1.313809,-2.582784,-0.531185,0.072200
0.510000,-1.618035,-1.746578,-1.970822,-0.859531,-0.122142
0.512000,-1.809655,-1.561479,-1.161725,-1.049167,-0.221032
0.514000,-1.937167,-1.620399,-1.635402,-1.203489,-0.355574
0.516000,-1.996053,-1.692883,-1.464316,-1.335701,-0.461043
0.518000,-1.984229,-1.841373,-2.127523,-1.472312,-0.619567
0.520000,-1.902115,-1.840826,-1.216736,-1.571868,-0.676372
0.522000,-1.752612,-1.800427,-1.022504,-1.633615,-0.709298
0.524000,-1.541030,-1.265771,-1.367383,-1.534240,-0.771898
0.526000,-1.274846,-1.037209,-1.076080,-1.399964,-0.800834
0.528000,-0.963505,-1.038720,-2.163655,-1.302371,-0.930472
0.530000,-0.618039,-0.120030,-0.424783,-0.982955,-0.882368
0.532000,-0.250664,-0.587692,0.519262,-0.876172,-0.749038
0.534000,0.125576,0.250485,0.920893,-0.571799,-0.590186
0.536000,0.497383,0.700766,0.211555,-0.228007,-0.513921
0.538000,0.851555,0.174173,1.394132,-0.119356,-0.332417
0.540000,1.175573,0.848876,2.107120,0.142218,-0.100357
0.542000,1.457934,1.297493,0.989988,0.454323,0.003362
0.544000,1.688658,1.969808,2.044284,0.863740,0.197505
0.546000,1.859554,1.424923,1.551396,1.015347,0.326294
0.548000,1.964574,2.623440,2.716039,1.449784,0.553618
0.550000,2.000000,2.578294,3.796775,1.754658,0.862123
0.552000,1.964575,2.311738,2.216244,1.905156,0.990934
0.554000,1.859551,1.637658,1.482833,1.832890,1.037726
0.556000,1.688658,1.773181,0.294756,1.816759,0.967051
0.558000,1.457934,1.008367,1.446546,1.598367,1.012663
0.560000,1.175573,1.055909,0.634982,1.451819,0.976736
0.562000,0.851561,0.830910,1.382031,1.284076,1.015290
0.564000,0.497375,0.832467,1.469414,1.162071,1.058488
0.566000,0.125583,0.613332,0.968285,1.013826,1.049908
0.568000,-0.250672,0.256661,0.311221,0.809273,0.979640
0.570000,-0.618032,-1.107536,-0.016172,0.291435,0.884914
0.572000,-0.963512,-0.872375,-1.118084,-0.022975,0.694378
0.574000,-1.274847,-0.320044,-2.251262,-0.103230,0.414175
0.576000,-1.541026,-1.433517,0.165941,-0.462615,0.390561
0.578000,-1.752613,-1.715526,-0.768420,-0.801097,0.280313
0.580000,-1.902113,-1.964782,-0.669281,-1.115474,0.189983
0.582000,-1.984230,-1.805003,-0.156163,-1.301754,0.157056
0.584000,-1.996053,-1.879275,-3.079090,-1.457775,-0.150782
0.586000,-1.937165,-1.219418,-0.307856,-1.393381,-0.165724
0.588000,-1.809654,-2.153147,-2.020806,-1.598637,-0.342188
0.590000,-1.618039,-1.793258,-2.727804,-1.651215,-0.569120
0.592000,-1.369094,-0.924626,-1.554274,-1.454922,-0.662832
0.594000,-1.071654,-0.843545,-0.140547,-1.289755,-0.613150
0.596000,-0.736249,-0.565636,-0.642659,-1.094130,-0.615957
0.598000,-0.374763,-0.172835,-0.819152,-0.845236,-0.635286
0.600000,0.000008,-0.139900,-0.549894,-0.654685,-0.627163
0.602000,0.374763,0.434488,-1.441191,-0.360438,-0.704597
0.604000,0.736243,-0.380739,1.242829,-0.365923,-0.519349
0.606000,1.071654,0.928163,-0.114731,-0.016317,-0.480859
0.608000,1.369089,1.547701,2.159951,0.406212,-0.229653
0.610000,1.618035,1.573304,0.216817,0.721509,-0.187182
0.612000,1.809655,1.858507,2.275491,1.028676,0.047079
0.614000,1.937167,1.827709,0.883242,1.244540,0.126619
0.616000,1.996054,2.476025,1.734981,1.577233,0.279615
0.618000,1.984230,2.337887,0.161106,1.782729,0.268342
0.620000,1.902112,1.988221,3.303696,1.838244,0.557079
0.622000,1.752616,1.353832,0.690327,1.707377,0.569755
0.624000,1.541025,1.892431,2.029421,1.757370,0.708605
0.626000,1.274852,1.642461,1.145939,1.726327,0.750207
0.628000,0.963505,0.130426,0.511653,1.295184,0.727514
0.630000,0.618032,0.491277,2.751217,1.078004,0.920019
0.632000,0.250664,-0.121277,1.036990,0.754011,0.931146
0.634000,-0.125584,-0.160624,-0.028447,0.506916,0.839864
0.636000,-0.497375,0.136320,-2.896021,0.406797,0.484489
0.638000,-0.851561,-0.531184,-1.052230,0.153396,0.338308
0.640000,-1.175567,-0.886053,0.058131,-0.127418,0.311656
0.642000,-1.457940,-2.366452,-1.986318,-0.732307,0.093062
0.644000,-1.688654,-1.612235,-2.550987,-0.970025,-0.158453
0.646000,-1.859554,-1.577055,-0.196284,-1.134018,-0.162052
0.648000,-1.964575,-2.116347,-1.680671,-1.399400,-0.306510
0.650000,-2.000000,-1.660693,-2.811985,-1.469990,-0.544843
0.652000,-1.964574,-2.510840,-1.552113,-1.751182,-0.640660
0.654000,-1.859554,-2.420424,-4.684964,-1.931982,-1.025374
0.656000,-1.688653,-1.569790,-2.914699,-1.834134,-1.205096
0.658000,-1.457939,-1.683315,-1.572306,-1.793389,-1.240027
0.660000,-1.175567,-0.865722,-2.134847,-1.542774,-1.325146
0.662000,-0.851561,-1.064780,-0.327297,-1.413641,-1.230226
0.664000,-0.497382,-0.760445,0.651458,-1.237176,-1.051231
0.666000,-0.125576,0.321877,0.243126,-0.815988,-0.928105
0.668000,0.250664,0.582954,-1.256058,-0.438055,-0.959302
0.670000,0.618039,0.365992,1.366178,-0.220837,-0.738091
0.672000,0.963506,0.926476,2.491733,0.089117,-0.430854
0.674000,1.274853,1.360934,1.928640,0.432706,-0.206407
0.676000,1.541026,1.562421,1.459465,0.737906,-0.047941
0.678000,1.752613,1.450954,1.685369,0.930540,0.116940
0.680000,1.902115,2.026722,0.149283,1.226680,0.120016
0.682000,1.984229,2.065119,1.436509,1.453190,0.245248
0.684000,1.996053,2.036799,2.262878,1.610855,0.437174
0.686000,1.937166,1.611424,-0.416944,1.611009,0.355927
0.688000,1.809651,2.297691,3.453662,1.796520,0.650598
0.690000,1.618034,1.136759,1.662847,1.618282,0.746888
0.692000,1.369100,0.978257,0.878840,1.445375,0.759440
0.694000,1.071654,1.166351,1.866561,1.369995,0.864755
0.696000,0.736256,0.681357,-0.286448,1.183955,0.755247
0.698000,0.374762,0.234378,-0.403158,0.927421,0.645054
0.700000,0.000007,0.286488,0.919019,0.754269,0.671115
0.702000,-0.374763,-0.275854,0.236400,0.475975,0.629763
0.704000,-0.736243,-1.142934,-0.924063,0.038617,0.481955
0.706000,-1.071654,-1.312628,-1.355794,-0.326431,0.307139
0.708000,-1.369100,-1.092237,-2.690844,-0.533318,0.021956
0.710000,-1.618035,-1.887244,-2.816083,-0.899089,-0.248012
0.712000,-1.809658,-1.427459,-2.152416,-1.041832,-0.429168
0.714000,-1.937167,-2.369538,-1.439328,-1.400520,-0.525260
0.716000,-1.996054,-2.067789,-3.578411,-1.580787,-0.815690
0.718000,-1.984229,-2.506061,-2.225658,-1.830755,-0.949813
0.720000,-1.902110,-2.507636,0.671790,-2.013619,-0.795559
0.722000,-1.752612,-1.754709,-2.012689,-1.943673,-0.911338
0.724000,-1.541030,-1.945300,-0.727103,-1.944112,-0.893813
0.726000,-1.274846,-0.842223,-0.110571,-1.646430,-0.819307
0.728000,-0.963512,-0.778238,-0.089396,-1.411883,-0.749874
0.730000,-0.618032,-0.443456,0.305378,-1.150256,-0.649493
0.732000,-0.250671,-0.665981,-0.258833,-1.019426,-0.612332
0.734000,0.125584,0.686249,0.488585,-0.558627,-0.507607
0.736000,0.497375,0.272807,1.050978,-0.334010,-0.359347
0.738000,0.851562,0.237841,0.490391,-0.179521,-0.278516
0.740000,1.175567,1.484111,1.522493,0.269919,-0.107195
0.742000,1.457940,1.348858,2.941362,0.561401,0.182799
0.744000,1.688654,1.654205,1.623947,0.856629,0.319888
0.746000,1.859554,1.938387,1.620214,1.148873,0.443581
0.748000,1.964577,1.991565,1.137864,1.376531,0.509625
0.750000,2.000000,2.079099,3.415484,1.566334,0.786045
0.752000,1.964575,1.973420,2.094531,1.676311,0.910514
0.754000,1.859551,1.948561,-0.188628,1.749861,0.805958
0.756000,1.688657,1.875746,2.854082,1.783870,1.000786
0.758000,1.457934,1.445109,-0.919067,1.692351,0.818160
0.760000,1.175573,0.890788,1.455108,1.475804,0.878750
0.762000,0.851554,1.060363,2.499106,1.363570,1.032886
0.764000,0.497382,0.337105,-0.877395,1.086264,0.851171
0.766000,0.125591,-0.138819,0.410689,0.755300,0.809270
0.768000,-0.250664,-0.519259,0.418004,0.410970,0.772051
0.770000,-0.618025,-0.442067,1.283484,0.180517,0.820701
0.772000,-0.963506,-1.108498,0.280569,-0.167718,0.769321
0.774000,-1.274841,-1.368236,0.166586,-0.492046,0.711986
0.776000,-1.541026,-1.688578,-1.227891,-0.815296,0.527455
0.778000,-1.752616,-1.841603,-3.346944,-1.092559,0.158903
